label,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,pnl,r_multiple,fees,spread_cost,sl_slippage,holding_minutes,funding_windows_crossed,win,exit_type
FVG+Slope,2026-05-08 10:00:00+00:00,2026-05-08 11:00:00+00:00,79828.3,80014.50000000001,79735.2,80014.50000000001,56.555331881056986,2.0,50.058312653532646,10.011662530706529,0.0,60,0,True,TP
FVG+Slope,2026-05-08 12:00:00+00:00,2026-05-08 13:00:00+00:00,80193.2,80066.27291,80090.3,80398.99999999999,-154.07158197079093,-1.2334994169096656,49.96043084388702,9.992086168777403,14.980752732153865,60,0,False,SL
FVG+Slope,2026-05-09 03:00:00+00:00,2026-05-09 04:00:00+00:00,80384.0,80582.0,80285.0,80582.0,63.08494227707007,2.0,50.06157941878981,10.012315883757964,0.0,60,0,True,TP
FVG+Slope,2026-05-09 17:00:00+00:00,2026-05-09 18:00:00+00:00,80580.0,80861.20000000001,80439.4,80861.20000000001,114.38029287665154,2.0,50.08724249193349,10.017448498386699,0.0,60,0,True,TP
FVG+Slope,2026-05-10 17:00:00+00:00,2026-05-10 19:00:00+00:00,81332.3,81125.75497000001,81150.1,81696.7,-180.22222446871345,-1.1336170691547593,44.58234219813463,8.916468439626927,13.361706915475938,120,0,False,SL
FVG+Slope,2026-05-11 00:00:00+00:00,2026-05-11 01:00:00+00:00,82182.9,81991.29523,82015.9,82516.9,-188.4515312203483,-1.1473339520957535,49.153950667664674,9.830790133532934,14.733395209575342,60,0,False,SL
FVG+Slope,2026-05-11 17:00:00+00:00,2026-05-11 18:00:00+00:00,81534.2,81996.39999999998,81303.1,81996.39999999998,157.54289917784348,2.0,35.380917351797095,7.076183470359418,0.0,60,0,True,TP
FVG+Slope,2026-05-12 20:00:00+00:00,2026-05-12 21:00:00+00:00,80788.5,80598.61316000001,80622.8,81119.9,-187.631833371148,-1.1459676523837976,48.698585745323726,9.739717149064745,14.596765238379763,60,0,False,SL
FVG+Slope,2026-05-13 03:00:00+00:00,2026-05-13 07:00:00+00:00,81019.0,80863.7336,80888.0,81281.0,-170.73923410557174,-1.1852396946564363,49.95208950986806,9.990417901973611,14.975746429845563,240,0,False,SL
FVG+Slope,2026-05-13 10:00:00+00:00,2026-05-13 11:00:00+00:00,81256.9,81075.67,81100.0,81570.69999999998,-186.42080980199694,-1.1550669216061353,49.944241658246874,9.988848331649375,14.971036305840949,60,0,False,SL
FVG+Slope,2026-06-13 20:00:00+00:00,2026-06-13 21:00:00+00:00,64262.6,64563.99999999999,64111.9,64563.99999999999,148.7087193098862,2.0,42.742733908428164,8.548546781685634,0.0,60,0,True,TP
FVG+Slope,2026-06-14 22:00:00+00:00,2026-06-17 22:00:00+00:00,65276.9,63952.30855,63971.5,67887.70000000001,-108.88006933736762,-1.0147015857208506,4.949793494331235,0.989958698866247,1.4701585720850636,4320,9,False,SL
FVG+Slope,2026-06-22 13:00:00+00:00,2026-06-22 16:00:00+00:00,65116.4,64532.33449,64551.7,66245.80000000002,-120.63401110217659,-1.0342934478484078,11.479434610412522,2.2958869220825044,3.4293447848407728,180,0,False,SL
FVG+Slope,2026-07-02 10:00:00+00:00,2026-07-03 20:00:00+00:00,61147.6,62757.799999999996,60342.5,62757.799999999996,190.76596199229908,2.0,7.695031673084102,1.5390063346168206,0.0,2040,4,True,TP
FVG+Slope,2026-07-03 22:00:00+00:00,2026-07-04 01:00:00+00:00,62702.4,62455.657680000004,62474.4,63158.4,-149.37696254736625,-1.0822031578947262,27.446942473684214,5.4893884947368425,8.220315789472615,180,0,False,SL
FVG+Slope,2026-07-04 05:00:00+00:00,2026-07-04 06:00:00+00:00,62658.9,62545.930589999996,62564.7,62847.30000000001,-165.06970147417684,-1.1992506369426743,49.95492683002734,9.990985366005468,14.977449332816878,60,0,False,SL
FVG+Slope,2026-07-04 17:00:00+00:00,2026-07-04 18:00:00+00:00,62888.8,63164.40000000001,62751.0,63164.40000000001,145.11471698113323,2.0,45.737735849055646,9.14754716981113,0.0,60,0,True,TP
FVG+Slope,2026-07-04 19:00:00+00:00,2026-07-04 20:00:00+00:00,63141.9,63283.700000000004,63071.0,63283.700000000004,52.21939789585276,2.0,50.05614338497892,10.011228676995785,0.0,60,0,True,TP
FVG+Slope,2026-07-05 23:00:00+00:00,2026-07-06 05:00:00+00:00,63705.1,62959.40651000001,62978.3,65158.69999999999,-115.65570774710933,-1.0259954457897564,8.713848824298347,1.7427697648596696,2.599544578975652,360,0,False,SL
FVG+Slope,2026-07-06 16:00:00+00:00,2026-07-08 08:00:00+00:00,63519.9,62000.794180000004,62019.4,66520.9,-107.49910406584432,-1.012399746751081,4.182628929690103,0.8365257859380206,1.2399746751081,2400,5,False,SL
FVG+Slope,2026-07-09 08:00:00+00:00,2026-07-09 10:00:00+00:00,62973.7,62740.97206000001,62759.8,63401.499999999985,-152.86801460308288,-1.0880221598877797,29.386318854605758,5.877263770921152,8.802215988777977,120,0,False,SL
FVG+Slope,2026-07-09 19:00:00+00:00,2026-07-09 23:00:00+00:00,63193.4,63018.0889,63037.0,63506.200000000004,-172.60172208439513,-1.1209149616368117,40.348941464194,8.0697882928388,12.091496163681173,240,0,False,SL
FVG+Slope,2026-07-10 03:00:00+00:00,2026-07-10 12:00:00+00:00,63936.1,64490.299999999996,63659.0,64490.299999999996,172.19204619271008,2.0,23.173294839408275,4.634658967881655,0.0,540,1,True,TP
