sym,variant,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,pnl,r_multiple,win,exit_type,holding_hrs,atr_rank_pct,bb_width
BTC-USDT-SWAP,A,2026-05-08 10:00:00+00:00,2026-05-08 11:00:00+00:00,79828.3,80242.50000000001,79621.2,80242.50000000001,153.62507001448705,2.0,1,TP,1,4.0,0.010779353770737167
BTC-USDT-SWAP,A,2026-05-08 12:00:00+00:00,2026-05-08 13:00:00+00:00,80193.2,79707.68052000001,79731.6,81116.39999999998,-131.1480693916803,-1.0518186308492143,0,SL,1,8.0,0.011733462201610754
BTC-USDT-SWAP,A,2026-05-09 03:00:00+00:00,2026-05-09 06:00:00+00:00,80384.0,80155.946,80180.0,80792.0,-170.79998411765072,-1.1179117647059007,0,SL,3,1.0,0.009300204167775663
BTC-USDT-SWAP,A,2026-05-09 17:00:00+00:00,2026-05-10 15:00:00+00:00,80580.0,81375.0,80182.5,81375.0,175.55396226415093,2.0,1,TP,22,3.0,0.004544096168571846
BTC-USDT-SWAP,A,2026-05-10 17:00:00+00:00,2026-05-10 20:00:00+00:00,81332.3,80863.7336,80888.0,82220.90000000001,-132.82701331532417,-1.0546171505739208,0,SL,3,23.0,0.013287561188345728
BTC-USDT-SWAP,A,2026-05-11 00:00:00+00:00,2026-05-11 03:00:00+00:00,82182.9,80596.8137,80621.0,85306.69999999998,-109.35017787438396,-1.0154851783084713,0,SL,3,99.0,0.02071611788270847
BTC-USDT-SWAP,A,2026-05-11 11:00:00+00:00,2026-05-11 12:00:00+00:00,80894.1,81248.50000000003,80716.9,81248.50000000003,145.09844243792685,2.0,1,TP,1,51.0,0.021171836812423468
BTC-USDT-SWAP,A,2026-05-11 17:00:00+00:00,2026-05-12 01:00:00+00:00,81534.2,80763.86357,80788.1,83026.39999999998,-119.54854552231748,-1.0324841576196284,0,SL,8,63.0,0.021389259782010516
BTC-USDT-SWAP,A,2026-05-12 20:00:00+00:00,2026-05-13 00:00:00+00:00,80788.5,80350.8875,80375.0,81615.5,-135.04440931076323,-1.0583131801692935,0,SL,4,51.0,0.01393823636841809
BTC-USDT-SWAP,A,2026-05-13 03:00:00+00:00,2026-05-13 11:00:00+00:00,81019.0,80609.40992,80633.6,81789.79999999999,-137.71593304411073,-1.0627661650233542,0,SL,8,43.0,0.016441262167022717
BTC-USDT-SWAP,A,2026-05-25 11:00:00+00:00,2026-05-25 12:00:00+00:00,77506.3,77359.58516,77382.8,77753.3,-169.56635208750842,-1.1879744129554701,0,SL,1,31.0,0.019632247454607805
BTC-USDT-SWAP,A,2026-05-25 16:00:00+00:00,2026-05-25 20:00:00+00:00,77591.6,77251.8175,77275.0,78224.80000000002,-143.98959270372333,-1.0732233101705462,0,SL,4,5.0,0.010879423425049833
BTC-USDT-SWAP,A,2026-06-13 14:00:00+00:00,2026-06-13 16:00:00+00:00,64069.6,63861.93567,63881.1,64446.6,-161.0544198419094,-1.1016675331564967,0,SL,2,1.0,0.015826685441178778
